number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_num_flows,params_patience,state
147,-0.18938422575592995,2024-12-09 17:54:44.150530,2024-12-09 18:28:35.518834,0 days 00:33:51.368304,8,384,32,9.973080281154926e-05,5,5,COMPLETE
148,-0.10230454988777637,2024-12-09 18:05:01.597477,2024-12-09 19:09:43.089682,0 days 01:04:41.492205,8,448,32,7.829717773530084e-05,5,5,COMPLETE
149,-0.4418688217798869,2024-12-09 18:25:58.672539,2024-12-09 19:44:16.648990,0 days 01:18:17.976451,8,448,32,7.029913018544668e-05,5,5,COMPLETE
150,-0.2592356407394012,2024-12-09 18:28:35.526005,2024-12-09 19:15:11.319132,0 days 00:46:35.793127,8,448,32,7.971746647655062e-05,5,5,COMPLETE
151,-0.24308192916214466,2024-12-09 18:32:53.697100,2024-12-09 19:42:32.554385,0 days 01:09:38.857285,8,448,32,6.776089049303824e-05,5,5,COMPLETE
152,-0.1018921592583259,2024-12-09 18:37:22.948758,2024-12-09 19:53:48.625480,0 days 01:16:25.676722,8,448,32,8.253546626484896e-05,5,5,COMPLETE
153,-0.1861491976926724,2024-12-09 18:39:20.671065,2024-12-09 19:30:03.363089,0 days 00:50:42.692024,8,448,32,7.242381697149221e-05,5,5,COMPLETE
154,-0.5783911322553953,2024-12-09 18:42:20.925654,2024-12-09 19:55:21.983366,0 days 01:13:01.057712,8,448,32,7.105730837486527e-05,5,5,COMPLETE
155,-0.2113988257944584,2024-12-09 18:49:00.210257,2024-12-09 19:08:51.492552,0 days 00:19:51.282295,8,512,32,6.656014157339569e-05,4,4,COMPLETE
156,-0.04550160082678,2024-12-09 18:54:25.202179,2024-12-09 19:02:34.779142,0 days 00:08:09.576963,8,448,32,6.813819027026687e-05,4,5,COMPLETE
157,-0.12175914073983828,2024-12-09 19:02:34.785142,2024-12-09 19:17:49.765773,0 days 00:15:14.980631,8,512,32,8.437097562880884e-05,5,4,COMPLETE
