,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_patience,state
122,122,0.08900919981582575,2024-12-25 21:57:59.290402,2024-12-26 00:55:24.001655,0 days 02:57:24.711253,8,384,128,2.0661837179000715e-05,10,COMPLETE
123,123,0.08771076684958544,2024-12-25 22:06:19.676157,2024-12-26 01:08:03.829471,0 days 03:01:44.153314,8,448,128,0.0010528360788239805,7,COMPLETE
124,124,0.08524993065932468,2024-12-25 22:31:21.628635,2024-12-26 01:35:01.967278,0 days 03:03:40.338643,8,512,128,0.0010993861260279283,7,COMPLETE
125,125,0.08792665223551899,2024-12-25 22:36:08.621875,2024-12-26 01:00:34.152977,0 days 02:24:25.531102,8,448,128,0.001164400748002584,7,COMPLETE
126,126,0.0874303614783312,2024-12-25 22:37:28.945721,2024-12-26 01:33:10.961982,0 days 02:55:42.016261,8,384,128,0.0011892690898231417,7,COMPLETE
127,127,0.08947530748839137,2024-12-25 22:40:39.965717,2024-12-26 00:03:03.309103,0 days 01:22:23.343386,8,448,128,0.0011971815722438529,7,COMPLETE
128,128,0.08899217238258414,2024-12-25 22:40:45.356339,2024-12-26 01:40:45.427168,0 days 03:00:00.070829,8,448,128,0.0019587298849195666,10,COMPLETE
129,129,0.08889211340956077,2024-12-25 22:44:07.556149,2024-12-26 01:43:48.644646,0 days 02:59:41.088497,8,448,128,0.0005426664754800938,10,COMPLETE
130,130,0.0886378943481866,2024-12-25 22:57:36.933956,2024-12-26 01:59:44.701855,0 days 03:02:07.767899,8,448,128,0.0005168114358180741,10,COMPLETE
131,131,0.08815868681750628,2024-12-25 23:01:31.178324,2024-12-26 02:00:55.877966,0 days 02:59:24.699642,8,448,128,0.0020620468554093255,10,COMPLETE
132,132,0.08600282431149683,2024-12-25 23:05:40.854668,2024-12-26 02:03:46.722504,0 days 02:58:05.867836,8,448,128,0.0004916064800855782,10,COMPLETE
133,133,0.08968529433105923,2024-12-25 23:07:04.675505,2024-12-26 02:06:25.264595,0 days 02:59:20.589090,8,448,128,0.0021810648677276835,10,COMPLETE
134,134,0.08966758722016792,2024-12-26 00:03:03.318582,2024-12-26 03:03:58.694586,0 days 03:00:55.376004,8,448,128,0.0005035826547988006,10,COMPLETE
135,135,0.08927140772311377,2024-12-26 00:35:42.809968,2024-12-26 03:35:41.151678,0 days 02:59:58.341710,8,448,128,0.0005525233012418873,10,COMPLETE
136,136,0.08981373962484487,2024-12-26 00:46:07.623081,2024-12-26 02:26:39.619083,0 days 01:40:31.996002,8,448,128,0.0005179529223350894,10,COMPLETE
137,137,0.08729302702362046,2024-12-26 00:46:46.795796,2024-12-26 03:47:42.344451,0 days 03:00:55.548655,8,448,128,0.0005033926032798374,9,COMPLETE
